scientific_name,Trait Count
Phaseolus vulgaris,39
Medicago truncatula,39
Crassocephalum crepidioides,39
Cotula coronopifolia,39
Convolvulus erubescens,39
Cirsium vulgare,39
Tetragonia tetragonoides,39
Tephrosia grandiflora,39
Lotus subbiflorus,39
Lotus corniculatus,39
Melaleuca bracteata,39
Lophostemon confertus,39
Pultenaea parviflora,39
Coronidium scorpioides,39
Dillwynia phylicoides,39
Dillwynia parvifolia,39
Dillwynia elegans,39
Dillwynia sieberi,39
Lactuca serriola,39
Corymbia torelliana,39
Swainsona galegifolia,39
Cytisus scoparius,39
Austromyrtus dulcis,39
Angophora costata,39
Leptospermum parvifolium,39
Senecio quadridentatus,39
Medicago lupulina,39
Ulex europaeus,39
Senna barronfieldii,39
Senna didymobotrya,39
Medicago sativa,39
Angophora subvelutina,39
Wisteria sinensis,39
Acacia boormanii,39
Leptospermum petersonii,38
Senecio madagascariensis,38
Youngia japonica,38
Melaleuca styphelioides,38
Melaleuca thymifolia,38
Brachyscome triloba,38
Symphyotrichum subulatum,38
Lagenophora gracilis,38
Leucopogon ericoides,38
Monotoca scoparia,38
Breynia oblongifolia,38
Billardiera scandens,38
Melaleuca sieberi,38
Goodenia ovata,38
Callistemon comboynensis,38
Acianthus fornicatus,38
Polyscias sambucifolia,38
Galinsoga parviflora,38
Rhytidosporum procumbens,38
Gamochaeta coarctata,38
Dodonaea triquetra,38
Cyanthillium cinereum,38
Cyathochaeta diandra,38
Cymbonotus lawsonianus,38
Calothamnus pinifolius,38
Cassinia laevis,38
Eucalyptus squamosa,38
Eucalyptus tereticornis,38
Eucalyptus umbra,38
Eucalyptus longifolia,38
Eucalyptus macrorhyncha,38
Eucalyptus moluccana,38
Cassinia trinerva,38
Calotis dentex,38
Callistemon pallidus,38
Eucalyptus punctata,38
Stylidium graminifolium,38
Cotula australis,38
Crassula sieberiana,38
Eucalyptus racemosa,38
Eucalyptus camfieldii,38
Eucalyptus saligna,38
Eucalyptus scoparia,38
Eucalyptus siderophloia,38
Eucalyptus consideniana,38
Eucalyptus eugenioides,38
Eucalyptus fibrosa,38
Erigeron sumatrensis,38
Eucalyptus major,38
Eucalyptus microcorys,38
Eucalyptus acmenoides,38
Eucalyptus baueriana,38
Eucalyptus bosistoana,38
Eucalyptus botryoides,38
Olearia viscidula,38
Drosera auriculata,38
Drosera peltata,38
Eucalyptus canaliculata,38
Eucalyptus capitellata,38
Eucalyptus chlorophylla,38
Erechtites valerianifolius,38
Lomandra filiformis,38
Leptospermum juniperinum,38
Amyema miquelii,38
Tagetes minuta,38
Corymbia citriodora,38
Corymbia maculata,38
Backhousia myrtifolia,38
Metrosideros excelsa,38
Melaleuca armillaris,38
Melaleuca deanei,38
Angophora floribunda,38
Senecio hispidulus,38
Leptospermum polyanthum,37
Xanthium occidentale,37
Hibbertia riparia,37
Melaleuca decussata,37
Melaleuca diosmatifolia,37
Delairea odorata,37
Cyperus eragrostis,37
Isolepis inundata,37
Prasophyllum elatum,37
Persoonia linearis,37
Lactuca sativa,37
Microtis unifolia,37
Grevillea linearifolia,37
Bidens tripartita,37
Melaleuca hypericifolia,37
Machaerina juncea,37
Hypochaeris albiflora,37
Hypochaeris glabra,37
Hypolaena fastigiata,37
Ricinocarpos pinifolius,37
Roldana petasitis,37
Gonocarpus teucrioides,37
Clematis aristata,37
Corybas aconitiflorus,37
Callistemon linearifolius,37
Solenogyne bellioides,37
Gahnia sieberiana,37
Sphagneticola trilobata,37
Gamochaeta americana,37
Gamochaeta calviceps,37
Facelis retusa,37
Callistemon subulatus,37
Calochilus paludosus,37
Cassinia aureonitens,37
Cassinia denticulata,37
Schoenus apogon,37
Platysace lanceolata,37
Poranthera microphylla,37
Artemisia verlotiorum,37
Pelargonium australe,37
Euchiton involucratus,37
Soliva sessilis,37
Eustrephus latifolius,37
Eucalyptus parramattensis,37
Cassytha glabella,37
Calotis lappulacea,37
Callistemon pachyphyllus,37
Callistemon pinifolius,37
Eucalyptus polyanthemos,37
Cryptandra amara,37
Eucalyptus cladocalyx,37
Eucalyptus mannifera,37
Eucalyptus beyeriana,37
Erigeron canadensis,37
Cichorium intybus,37
Erigeron karvinskianus,37
Eucalyptus caleyi,37
Olearia elliptica,37
Dipodium punctatum,37
Dipodium roseum,37
Dipodium variegatum,37
Drosera glanduligera,37
Diuris maculata,37
Senecio minimus,37
Senecio prenanthoides,37
Senecio tenuiflorus,37
Hakea dactyloides,37
Brachyscome graminea,37
Pimelea linifolia,37
Melaleuca decora,37
Rumex brownii,37
Vittadinia gracilis,37
Vittadinia sulcata,37
Dianella caerulea,36
Wahlenbergia capillaris,36
Arthropodium milleflorum,36
Vittadinia pustulata,36
Rubus parvifolius,36
Juncus planifolius,36
Lomatia silaifolia,36
Urospermum picroides,36
Astroloma humifusum,36
Brachyloma daphnoides,36
Brachyscome multifida,36
Bidens alba,36
Leontodon saxatilis,36
Leontodon rhagadioloides,36
Caustis flexuosa,36
Corunastylis fimbriata,36
Euryops chrysanthemoides,36
Typha orientalis,36
Diuris aurea,36
Senecio pterophorus,36
Sarcochilus falcatus,36
Diuris sulphurea,36
Onopordum acanthium,36
Chrysanthemoides monilifera,36
Hydrocotyle laxiflora,36
Centaurea melitensis,36
Thelymitra pauciflora,36
Oxalis perennans,36
Lomandra glauca,36
Eriocephalus africanus,36
Conospermum taxifolium,36
Crepis capillaris,36
Centaurea cyanus,36
Cassinia ochracea,36
Cassinia sifton,36
Cassinia uncata,36
Sonchus asper,36
Carex inversa,36
Thelymitra carnea,36
Thelymitra ixioides,36
Gnaphalium polycaulon,36
Isolepis levynsiana,36
Lepidosperma concavum,36
Lagenophora stipitata,36
Glossodia minor,36
Acianthus caudatus,36
Gahnia clarkei,36
Geranium solanderi,36
Tragopogon porrifolius,36
Pterostylis nutans,36
Acianthus pusillus,36
Solidago altissima,36
Senecio angulatus,36
Ambrosia psilostachya,36
Pittosporum undulatum,36
Carduus nutans,36
Caleana major,36
Viola hederacea,36
Senecio bathurstianus,36
Caladenia catenata,36
Sphaeromorphaea australis,36
Calochilus campestris,36
Fimbristylis dichotoma,36
Gazania rigens,36
Dimorphotheca fruticosa,36
Gamochaeta purpurea,36
Cosmos sulphureus,36
Cryptostylis erecta,36
Dimorphotheca ecklonis,36
Ficinia nodosa,36
Calotis cuneata,36
Schoenoplectus tabernaemontani,36
Schoenus melanostachys,36
Calochilus robertsonii,36
Arctotheca calendula,36
Ambrosia artemisiifolia,36
Pterostylis concinna,36
Pterostylis curta,36
Senecio diaschides,36
Isolepis marginata,36
Lepidosperma laterale,36
Leptomeria acida,36
Leptinella longipes,36
Burchardia umbellata,36
Isopogon anemonifolius,36
Dichondra repens,36
Hakea teretifolia,36
Coronidium oxylepis,36
Zieria smithii,35
Hibbertia scandens,35
Cyperus polystachyos,35
Cyperus brevifolius,35
Hakea eriantha,35
Diuris punctata,35
Schoenoplectus subulatus,35
Pterostylis rufa,35
Correa alba,35
Hakea sericea,35
Pterostylis revoluta,35
Ranunculus lappaceus,35
Stypandra glauca,35
Corunastylis filiformis,35
Carex breviculmis,35
Dockrillia linguiformis,35
Pterostylis truncata,35
Calystegia marginata,35
Gahnia melanocarpa,35
Lyperanthus suaveolens,35
Exocarpos strictus,35
Corunastylis rufa,35
Erythrorchis cassythoides,35
Hibbertia acicularis,35
Dampiera stricta,35
Persicaria decipiens,35
Cyperus alterniflorus,35
Pterostylis gibbosa,35
Microtis parviflora,35
Isolepis prolifera,35
Phaius australis,35
Portulaca oleracea,35
Isopogon anethifolius,35
Persoonia levis,35
Lepidosperma filiforme,35
Dendrobium speciosum,35
Eleocharis sphacelata,35
Juncus subsecundus,35
Corybas fimbriatus,35
Isolepis cernua,35
Caladenia carnea,35
Pterostylis acuminata,35
Caladenia fuscata,35
Pterostylis obtusa,35
Caladenia tessellata,35
Schoenus moorei,35
Epacris microphylla,35
Cymbidium canaliculatum,35
Cyanicula caerulea,35
Cymbidium suave,35
Pterostylis pedunculata,35
Caladenia alata,35
Gonocarpus tetragynus,35
Smilax australis,35
Rhinerrhiza divitiflora,35
Allocasuarina paludosa,35
Pterostylis bicolor,35
Schoenus ericetorum,35
Pterostylis mutica,35
Gahnia erythrocarpa,35
Glossodia major,35
Machaerina acuta,35
Pterostylis grandiflora,35
Pterostylis longifolia,35
Acianthus exsertus,35
Tetraria capillaris,34
Arthropodium minus,34
Lambertia formosa,34
Wahlenbergia multicaulis,34
Casuarina glauca,34
Carex appressa,34
Carex fascicularis,34
Hydrocotyle sibthorpioides,34
Sarcochilus hartmannii,34
Cassytha pubescens,34
Banksia spinulosa,34
Drosera spatulata,34
Pterostylis saxicola,34
Asperula conferta,34
Spyridium parvifolium,34
Thelymitra peniculata,34
Wahlenbergia gracilis,34
Epacris obtusifolia,34
Oxalis corniculata,34
Chiloglottis diphylla,34
Chiloglottis formicifera,34
Pomaderris intermedia,34
Pelargonium inodorum,34
Solanum prinophyllum,34
Pterostylis chaetophora,34
Callicoma serratifolia,34
Caladenia picta,34
Dodonaea viscosa,34
Caesia parviflora,34
Plectranthus parviflorus,34
Caladenia capillata,34
Patersonia sericea,34
Calochilus gracillimus,34
Cycnogeton procerum,34
Cyperus odoratus,34
Lepidosperma urophorum,34
Hakea laurina,34
Solanum aviculare,34
Bulbophyllum globuliforme,34
Pterostylis erecta,34
Cladium procerum,34
Gahnia aspera,34
Bolboschoenus caldwellii,34
Philydrum lanuginosum,34
Utricularia dichotoma,34
Lepidosperma gunnii,34
Dendrobium kingianum,34
Cyperus difformis,34
Cyperus gracilis,34
Cyperus tetraphyllus,34
Leucopogon affinis,34
Wurmbea dioica,33
Myrsine howittiana,33
Grevillea sericea,33
Hypericum japonicum,33
Grevillea robusta,33
Grastidium baileyi,33
Samolus repens,33
Carex pumila,33
Pterostylis ampliata,33
Pomaderris lanigera,33
Pomaderris ferruginea,33
Alternanthera denticulata,33
Platysace ericoides,33
Atriplex semibaccata,33
Lobelia anceps,33
Boronia ledifolia,33
Persoonia pinifolia,33
Bolboschoenus fluviatilis,33
Banksia oblongifolia,33
Banksia integrifolia,33
Alphitonia excelsa,33
Juncus pallidus,33
Pterostylis oblonga,33
Cyperus albostriatus,33
Cyperus platystylis,33
Cryptostylis subulata,33
Lythrum hyssopifolia,33
Schoenus nitens,33
Eriostemon australasius,33
Oxalis exilis,33
Eleocharis gracilis,33
Einadia nutans,33
Gahnia filum,33
Opercularia varia,33
Geitonoplesium cymosum,33
Ficus rubiginosa,33
Plantago gaudichaudii,33
Commersonia dasyphylla,33
Parsonsia straminea,33
Pittosporum revolutum,32
Centella cordifolia,32
Triglochin striata,32
Veronica plebeia,32
Pseuderanthemum variabile,32
Banksia coccinea,32
Thysanotus juncifolius,32
Centella asiatica,32
Petrophile pulchella,32
Lissanthe strigosa,32
Urtica incisa,32
Patersonia glabrata,32
Viola betonicifolia,32
Isolepis sepulcralis,32
Scleria mackaviensis,32
Micrantheum ericoides,32
Mentha satureioides,32
Hypoxis hygrometrica,32
Muellerina eucalyptoides,32
Hibbertia empetrifolia,32
Hakea gibbosa,32
Mentha diemenica,32
Hakea salicifolia,32
Hibbertia linearis,32
Grevillea speciosa,32
Grevillea lanigera,32
Xanthosia pilosa,32
Leucopogon virgatus,32
Epacris pulchella,32
Ajuga australis,32
Laxmannia gracilis,32
Logania albiflora,32
Stephania japonica,32
Juncus homalocaulis,32
Juncus kraussii,32
Cyperus imbecillis,32
Lasiopetalum ferrugineum,32
Thelionema caespitosum,32
Drosera binata,32
Epidendrum radicans,32
Elaeocarpus reticulatus,32
Eriochilus petricola,32
Schoenoplectiella erecta,32
Geranium homeanum,32
Stackhousia viminea,32
Stenocarpus sinuatus,32
Cyperus congestus,32
Juncus usitatus,32
Drosera pygmaea,32
Cyperus laevis,32
Cyperus rotundus,32
Cyperus involucratus,32
Machaerina articulata,31
Grevillea juniperina,31
Hibbertia dentata,31
Hibbertia serpyllifolia,31
Hydrocotyle tripartita,31
Monotoca elliptica,31
Grevillea buxifolia,31
Grevillea rosmarinifolia,31
Rorippa laciniata,31
Lepidosperma latens,31
Cyperus reflexus,31
Ptilotus seminudus,31
Myoporum insulare,31
Selliera radicans,31
Eleocharis minuta,31
Ranunculus inundatus,31
Goodenia hederacea,31
Smilax glyciphylla,31
Psychotria loniceroides,31
Brunoniella pumilio,31
Clematis glycinoides,31
Persoonia lanceolata,31
Alisma plantago-aquatica,31
Livistona australis,31
Brachychiton populneus,31
Stenanthera pinifolia,31
Denhamia silvestris,31
Leucopogon juniperinus,31
Trachymene incisa,31
Cyperus mirus,31
Cyperus sesquiflorus,31
Styphelia triflora,31
Opercularia aspera,31
Cyperus aggregatus,31
Cyperus enervis,31
Grevillea victoriae,30
Melichrus procumbens,30
Hibbertia diffusa,30
Hakea propinqua,30
Xylomelum pyriforme,30
Haemodorum planifolium,30
Myrsine variabilis,30
Parsonsia lanceolata,30
Lomandra multiflora,30
Dianella longifolia,30
Suaeda australis,30
Glochidion ferdinandi,30
Spergularia marina,30
Einadia hastata,30
Galium gaudichaudii,30
Notelaea longifolia,30
Eucalyptus globulus,30
Ficus macrophylla,30
Diplachne fusca,30
Cissus antarctica,30
Persicaria lapathifolia,30
Telopea speciosissima,30
Banksia ericifolia,30
Leucopogon microphyllus,30
Cayratia clematidea,30
Capparis mitchellii,30
Cissus hypoglauca,30
Lomandra cylindrica,30
Lomandra micrantha,30
Sarcopetalum harveyanum,30
Banksia robur,30
Potamogeton crispus,30
Pomaderris discolor,30
Plantago debilis,30
Pomax umbellata,30
Aegiceras corniculatum,30
Lepyrodia scariosa,30
Abutilon oxycarpum,30
Xanthosia tridentata,29
Aphanopetalum resinosum,29
Polymeria calycina,29
Leichhardtia viridiflora,29
Lemna disperma,29
Lomandra confertifolia,29
Salicornia quinqueflora,29
Sambucus australasica,29
Scaevola albida,29
Potamogeton ochreatus,29
Phyllanthus hirtellus,29
Phyllanthus virgatus,29
Leichhardtia suaveolens,29
Utricularia lateriflora,29
Ludwigia peploides,29
Juncus flavidus,29
Utricularia australis,29
Eremophila debilis,29
Notothixos subaureus,29
Galium leiocarpum,29
Solanum stelligerum,29
Nymphoides crenata,29
Dracophyllum secundum,29
Orianthera pusilla,29
Cryptandra ericoides,29
Hibbertia aspera,29
Hakea lorea,29
Styphelia viridis,29
Persicaria hydropiper,29
Conospermum ericifolium,29
Conospermum longifolium,29
Hibbertia stricta,29
Ceratopetalum gummiferum,29
Grevillea mucronulata,29
Pomaderris brunnea,29
Leucopogon amplexicaulis,29
Vincetoxicum barbatum,29
Amyema pendula,28
Myoporum acuminatum,28
Auranticarpa rhombifolia,28
Leichhardtia rostrata,28
Asparagus asparagoides,28
Banksia undata,28
Philotheca myoporoides,28
Poranthera ericifolia,28
Phyllanthus gunnii,28
Potamogeton sulcatus,28
Luzula densiflora,28
Banksia aemula,28
Leucopogon attenuatus,28
Wahlenbergia ceracea,28
Woollsia pungens,28
Lobelia purpurascens,28
Commelina cyanea,28
Scutellaria humilis,28
Crassula helmsii,28
Hibbertia monogyna,28
Stellaria flaccida,28
Synoum glandulosum,28
Epilobium hirtigerum,28
Juncus vaginatus,28
Comesperma sphaerocarpum,28
Hydrocotyle acutiloba,28
Ceratopetalum apetalum,28
Carpobrotus glaucescens,28
Lobelia dentata,28
Poranthera corymbosa,28
Notelaea venosa,28
Omphacomeria acerba,28
Scaevola ramosissima,27
Avicennia marina,27
Leichhardtia flavescens,27
Juncus aridicola,27
Brunoniella australis,27
Philotheca trachyphylla,27
Macadamia tetraphylla,27
Dodonaea multijuga,27
Crinum pedunculatum,27
Hibiscus brachysiphonius,27
Thysanotus tuberosus,27
Trema tomentosa,27
Epacris longiflora,27
Cupaniopsis anacardioides,27
Dendrophthoe vitellina,27
Mitrasacme polymorpha,27
Goodenia paniculata,27
Melia azedarach,27
Grevillea tenuiloba,27
Ficus coronata,27
Grevillea insignis,27
Grevillea biternata,27
Grevillea banksii,27
Adenanthos sericeus,27
Pomaderris elliptica,27
Grevillea petrophiloides,27
Gonocarpus micranthus,27
Westringia eremicola,27
Wilsonia backhousei,26
Wahlenbergia littoricola,26
Amyema congener,26
Lepidium pseudohyssopifolium,26
Myriophyllum variifolium,26
Goodenia heterophylla,26
Gratiola pedunculata,26
Solanum americanum,26
Orthrosanthus multiflorus,26
Grevillea sphacelata,26
Sparganium subglobosum,26
Solanum linearifolium,26
Rhododendron lochiae,26
Muellerina celastroides,26
Epilobium billardiereanum,26
Centaurium erythraea,26
Samolus valerandi,26
Lasiopetalum macrophyllum,26
Lomandra obliqua,26
Juncus continuus,26
Petrophile sessilis,26
Petrophile canescens,26
Schoenus lepidosperma,26
Juncus remotiflorus,26
Persoonia nutans,26
Boronia anemonifolia,26
Convolvulus angustissimus,26
Hibbertia circumdans,26
Hibbertia pedunculata,26
Stellaria media,25
Cassytha phaeolasia,25
Macadamia integrifolia,25
Grevillea stenomera,25
Rumex acetosella,25
Erica lusitanica,25
Opercularia hispida,25
Xanthorrhoea minor,25
Verbena officinalis,25
Calandrinia pickeringii,25
Hakea archaeoides,25
Grevillea venusta,25
Hibbertia hypericoides,25
Philotheca scabra,25
Xanthorrhoea resinosa,25
Lysimachia arvensis,25
Banksia plagiocarpa,25
Geranium brevicaule,25
Hakea laevipes,25
Goodenia bellidifolia,25
Myoporum boninense,25
Litsea leefeana,25
Amaranthus macrocarpus,25
Dysphania pumilio,25
Einadia trigonos,25
Cryptandra propinqua,24
Styphelia laeta,24
Sida rhombifolia,24
Epacris purpurascens,24
Einadia polygonoides,24
Solanum nigrum,24
Westringia longifolia,24
Amyema gaudichaudii,24
Juncus polyanthemus,24
Stylidium laricifolium,24
Najas tenuifolia,24
Boronia pinnata,23
Heptapleurum actinophyllum,23
Hibbertia nitida,23
Palmeria scandens,23
Dysphania carinata,23
Nymphoides montana,23
Solanum pungetium,23
Galium aparine,23
Cycnogeton multifructum,23
Spyridium scortechinii,23
Mitrasacme paludosa,23
Apium prostratum,23
Euphorbia dallachyana,23
Lantana camara,23
